Title,Company,Salary,Summary
Manager of Software Engineering - Sr AWS/Full Stack Java Developer,JPMorganChase,Not Specified,N/A
Junior Backend Java Developer (Enterprise Payments/Credit Card),Huntington Bank,Not Specified,N/A
Senior Full Stack Developer,Huntington Bank,Not Specified,N/A
"Sr Engineer, Software Engineer - Java/Angular (2 - 5 years' experience)",Nationwide,Not Specified,N/A
"Full Stack Software Developer - Cardio Partners - Dublin, OH",Sarnova,Not Specified,N/A
"Full Stack Software Engineer, Mid",Booz Allen Hamilton,Not Specified,N/A
Senior .NET Developer,absiusa,Not Specified,N/A
"Sr Engineer, Software Engineer - Angular and Java",Nationwide,Not Specified,N/A
"Sr Engineer, Software Engineer - Angular and Java",Nationwide,Not Specified,N/A
Principal Software Engineer,Liberty Mutual,Not Specified,N/A
Software Developer,"Modern Technology Solutions, Inc",Not Specified,N/A
Senior Software Engineer,Liberty Mutual,Not Specified,N/A
Senior Software Engineer,TaxPlanIQ,Not Specified,N/A
Senior Full Stack Software Engineer - Claims Technology,Liberty Mutual,Not Specified,N/A
Senior Software Engineer,Liberty Mutual,Not Specified,N/A
Senior Software Engineer,Liberty Mutual,Not Specified,N/A
"Data Center Technician, ADC InfraOps DCO Tech","Amazon Data Services, Inc.",Not Specified,N/A
"Data Center Technician, ADC InfraOps DCO Tech","Amazon Data Services, Inc.",Not Specified,N/A
"Data Center Technician, ADC InfraOps DCO Tech","Amazon Data Services, Inc.",Not Specified,N/A
Software Developer– Columbus OH,Cogent Communications,Not Specified,N/A
"Senior Full Stack IoT Software Developer - Cardio Partners - Dublin, OH",Sarnova,Not Specified,N/A
Senior iOS Developer,Alchemy,Not Specified,N/A
Senior .NET Full Stack Developer,eBusiness Solutions Inc.,Not Specified,N/A
Web Developer,Crimson Phoenix,Not Specified,N/A
Senior Frontend Developer,Stafford Technology,Not Specified,N/A
"Website Accessibility Specialist - Columbus, OH/ Hybrid",Software Technology Inc,Not Specified,N/A
"Mid-Level .NET Developer - Local to Columbus, Ohio","CGI Group, Inc.",Not Specified,N/A
"Lead Software Engineer (.Net Core) - Direct Hire- Hybrid - Dublin, OH - W2 only",Stafford Technology,Not Specified,N/A
Senior Security Engineer – Web Application & Network Protection (C2H),Blue Star Partners LLC,Not Specified,N/A
Java Full Stack Developer,KPIT Technologies GmbH,Not Specified,N/A
Web Developer (UX/UI),Evans & Chambers Technology,Not Specified,N/A
C# .NET Web Developer,BigThumb IT Consultants,Not Specified,N/A
Developer,Blue Laser Digital,Not Specified,N/A
Lead Frontend/Full Stack Software Engineer (1099 Independent Contractor),Quantum Health,Not Specified,N/A
Java Application Developer,Ross Group Inc,Not Specified,N/A
Senior Staff / Senior Frontend Engineer,SciTec,Not Specified,N/A
Full Stack Engineer Manager,Accenture,Not Specified,N/A
Modeling and Simulation Software Engineer,Booz Allen Hamilton,Not Specified,N/A
Modeling and Simulation Software Engineer,Booz Allen Hamilton,Not Specified,N/A
Computer Vision Software Engineer,Booz Allen Hamilton,Not Specified,N/A
Software Engineer,Booz Allen Hamilton,Not Specified,N/A
"Full stack Software Engineer, Senior",Booz Allen Hamilton,Not Specified,N/A
Junior Software Engineer,KBR,Not Specified,N/A
Guidewire JUTRO Digital Specialist,Capgemini,Not Specified,N/A
IS Technical Specialist/Back-end Tech Lead,Huntington Bank,Not Specified,N/A
IS Technical Specialist (Backend Java Dev),Huntington Bank,Not Specified,N/A
IS Technical Specialist,Huntington Bank,Not Specified,N/A
Modeling and Simulation Engineer,Radiance Technologies,Not Specified,N/A
"Software Engineer, Associate (NJUS)",NetJets,Not Specified,N/A
Software Developer,"deciBel Research, Inc.",Not Specified,N/A
EC & EEO,Evans & Chambers Technology,Not Specified,N/A
Lead Software Engineer,OCLC,Not Specified,N/A
Lead Software Engineer,OCLC,Not Specified,N/A
Senior Software Engineer,OCLC,Not Specified,N/A
Senior Software Engineer - eResources,OCLC,Not Specified,N/A
Software Engineer,OCLC,Not Specified,N/A
IBM ODM Developer,V3Main Technologies Inc.,Not Specified,N/A
Software Engineer II,Mimecast,Not Specified,N/A
Senior Software Engineer,NextGen Federal Systems,Not Specified,N/A
Principal Software Engineer,NextGen Federal Systems,Not Specified,N/A
E-Commerce Backend Developer,Rogue Fitness,Not Specified,N/A
Junior Appian Developer,HumanIT Solutions,Not Specified,N/A
Mid Appian Developer,HumanIT Solutions,Not Specified,N/A
Senior Full Stack Software Engineer - Claims Technology,Liberty Mutual,Not Specified,N/A
Application Developer,Crane Pumps & Systems,Not Specified,N/A
Senior Software Engineer,The Piada Group,Not Specified,N/A
SENIOR WEB DEVELOPER,Cella,Not Specified,N/A
Software Developer,MPW Corporate Services,Not Specified,N/A
Software Developer,McKesson,Not Specified,N/A
Contract Full Stack Software Developer,Battelle,Not Specified,N/A
Web Developer,"Bering-Alaka`ina Holdings, LLC",Not Specified,N/A
Software Engineer IV - NovaStar,Applied Research Solutions,Not Specified,N/A
Software Engineer IV - NovaStar,Applied Research Solutions,Not Specified,N/A
Lead Software Engineer (SE4),Epsilon Systems Solutions Inc,Not Specified,N/A
Software Developer,Prescient Edge Federal,Not Specified,N/A
Senior Software Engineer,Cape Fox Federal Integrators,Not Specified,N/A
Senior Principal Engineer - Full-Stack Ground Software Developer,BAE Systems Inc.,Not Specified,N/A
Web Developer,Ajanta Consulting,Not Specified,N/A
Full Stack Developer (React),Vertiv,Not Specified,N/A
Software Engineer IV - NovaStar,Applied Research Solutions,Not Specified,N/A
Lead Software Engineer (SE4),Epsilon Systems Solutions Inc,Not Specified,N/A
Software Developer,Prescient Edge Federal,Not Specified,N/A
Senior Software Engineer,Cape Fox Federal Integrators,Not Specified,N/A
Senior Principal Engineer - Full-Stack Ground Software Developer,BAE Systems Inc.,Not Specified,N/A
Web Developer,Ajanta Consulting,Not Specified,N/A
Full Stack Developer (React),Vertiv,Not Specified,N/A
"Software Engineer, Full-Stack",PPG,Not Specified,N/A
Front-End Content Developer,Lane Bryant,Not Specified,N/A
Entry-Level Software Engineer,AeroVironment,Not Specified,N/A
Mid-level Software Engineer,AeroVironment,Not Specified,N/A
Mid-level Software Engineer,AeroVironment,Not Specified,N/A
Software Engineer,"Tyto Athene, LLC",Not Specified,N/A
Application Developer,Franklin County Auditor,Not Specified,N/A
Software Engineer/Software Developer,Altamira Technologies Corp.,Not Specified,N/A
"Consultant, Software Engineer | App Suite Technical Lead.",Nationwide,Not Specified,N/A
Software Engineer IV - NovaStar,Applied Research Solutions,Not Specified,N/A
Lead Software Engineer (SE4),Epsilon Systems Solutions Inc,Not Specified,N/A
Software Developer,Prescient Edge Federal,Not Specified,N/A
Senior Software Engineer,Cape Fox Federal Integrators,Not Specified,N/A
Senior Principal Engineer - Full-Stack Ground Software Developer,BAE Systems Inc.,Not Specified,N/A
Web Developer,Ajanta Consulting,Not Specified,N/A
Full Stack Developer (React),Vertiv,Not Specified,N/A
"Software Engineer, Full-Stack",PPG,Not Specified,N/A
Front-End Content Developer,Lane Bryant,Not Specified,N/A
Entry-Level Software Engineer,AeroVironment,Not Specified,N/A
Mid-level Software Engineer,AeroVironment,Not Specified,N/A
Mid-level Software Engineer,AeroVironment,Not Specified,N/A
Software Engineer,"Tyto Athene, LLC",Not Specified,N/A
Application Developer,Franklin County Auditor,Not Specified,N/A
Software Engineer/Software Developer,Altamira Technologies Corp.,Not Specified,N/A
"Consultant, Software Engineer | App Suite Technical Lead.",Nationwide,Not Specified,N/A
